C	alpha	bias_type	steps_per_sample	acc_prob	integrator_coefficients	stepsize0	decay_time	Banana_MAMS_Paper
0.1	1.9	3	15			0.05	10.0	inf
0.1	1.9	3	15			0.126	10.0	inf
0.1	1.9	3	15			0.316	10.0	inf
0.1	1.9	3	15			0.795	10.0	inf
0.1	1.9	3	15			2.0	10.0	inf
0.1	1.9	3	15			0.05	23.403	inf
0.1	1.9	3	15			0.126	23.403	inf
0.1	1.9	3	15			0.316	23.403	inf
0.1	1.9	3	15			0.795	23.403	inf
0.1	1.9	3	15			2.0	23.403	19.0
0.1	1.9	3	15			0.05	54.772	inf
0.1	1.9	3	15			0.126	54.772	inf
0.1	1.9	3	15			0.316	54.772	inf
0.1	1.9	3	15			0.795	54.772	44.0
0.1	1.9	3	15			2.0	54.772	17.0
0.1	1.9	3	15			0.05	128.186	inf
0.1	1.9	3	15			0.126	128.186	inf
0.1	1.9	3	15			0.316	128.186	inf
0.1	1.9	3	15			0.795	128.186	35.0
0.1	1.9	3	15			2.0	128.186	16.0
0.1	1.9	3	15			0.05	300.0	inf
0.1	1.9	3	15			0.126	300.0	inf
0.1	1.9	3	15			0.316	300.0	inf
0.1	1.9	3	15			0.795	300.0	32.0
0.1	1.9	3	15			2.0	300.0	17.0
