,Sampler,Model,num_grads_to_low_error,ess_corr,max,statistic,num_tuning_grads,L,step_size
<<<<<<< HEAD
0,nuts,U1,202545.73349999997,,True,polyakov,499178.953125,0.4997460791658992,0.0004885302373775699
1,nuts,U1,85928.49299999999,,False,polyakov,499178.953125,0.4997460791658992,0.0004885302373775699
2,nuts,U1,inf,,True,polyakov^2,499178.953125,0.4997460791658992,0.0004885302373775699
3,nuts,U1,inf,,False,polyakov^2,499178.953125,0.4997460791658992,0.0004885302373775699
=======
0,nuts,U1,131962.017375,,True,polyakov,1008704.65625,0.29458087182583026,0.00028796839150347004
1,nuts,U1,83882.83275,,False,polyakov,1008704.65625,0.29458087182583026,0.00028796839150347004
2,nuts,U1,inf,,True,polyakov^2,1008704.65625,0.29458087182583026,0.00028796839150347004
3,nuts,U1,inf,,False,polyakov^2,1008704.65625,0.29458087182583026,0.00028796839150347004
>>>>>>> 95719fdef7f1c137bfed573b1ff2dc1c50bab0b0
